PERMNO,date,EXCHCD,TICKER,COMNAM,PERMCO,DIVAMT,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,NUMTRD,RETX,sprtrn
59408,2022-08-18,1,BAC,BANK OF AMERICA CORP,3151,,36.00000,36.40000,36.28000,23138277,-0.003570,8056881,36.25000,,-0.003570,0.002270
59408,2022-08-19,1,BAC,BANK OF AMERICA CORP,3151,,35.31000,36.03000,35.48000,36485444,-0.022051,8056881,35.96000,,-0.022051,-0.012900
59408,2022-08-22,1,BAC,BANK OF AMERICA CORP,3151,,34.45000,34.81500,34.72000,31210313,-0.021420,8056881,34.75000,,-0.021420,-0.021400
59408,2022-08-23,1,BAC,BANK OF AMERICA CORP,3151,,34.36000,34.97000,34.41000,26587950,-0.008929,8056881,34.67000,,-0.008929,-0.002238
59408,2022-08-24,1,BAC,BANK OF AMERICA CORP,3151,,34.05000,34.79500,34.52000,31389358,0.003197,8056881,34.25000,,0.003197,0.002916
59408,2022-08-25,1,BAC,BANK OF AMERICA CORP,3151,,34.45000,35.28000,35.14000,40576733,0.017961,8056881,34.60000,,0.017961,0.014092
59408,2022-08-26,1,BAC,BANK OF AMERICA CORP,3151,,34.02000,35.47500,34.03000,36152571,-0.031588,8056881,35.44000,,-0.031588,-0.033688
59408,2022-08-29,1,BAC,BANK OF AMERICA CORP,3151,,33.61000,34.15000,33.90000,34931028,-0.003820,8056881,33.86000,,-0.003820,-0.006666
59408,2022-08-30,1,BAC,BANK OF AMERICA CORP,3151,,33.54000,34.28000,34.09000,48194904,0.005605,8056881,34.18000,,0.005605,-0.011028
59408,2022-08-31,1,BAC,BANK OF AMERICA CORP,3151,,33.60000,34.36500,33.61000,44917577,-0.014080,8035239,34.14000,,-0.014080,-0.007817
59408,2022-09-01,1,BAC,BANK OF AMERICA CORP,3151,0.22000,32.66140,33.49000,33.47000,32848894,0.002380,8035239,33.34000,,-0.004165,0.002996
59408,2022-09-02,1,BAC,BANK OF AMERICA CORP,3151,,33.27000,34.48000,33.43000,44000794,-0.001195,8035239,33.93000,,-0.001195,-0.010736
59408,2022-09-06,1,BAC,BANK OF AMERICA CORP,3151,,32.61000,33.73000,33.06000,40762410,-0.011068,8035239,33.64000,,-0.011068,-0.004095
59408,2022-09-07,1,BAC,BANK OF AMERICA CORP,3151,,32.63000,33.67000,33.57000,40742644,0.015426,8035239,32.81000,,0.015426,0.018341
59408,2022-09-08,1,BAC,BANK OF AMERICA CORP,3151,,33.27000,34.73000,34.65000,44361831,0.032172,8035239,33.46000,,0.032172,0.006611
59408,2022-09-09,1,BAC,BANK OF AMERICA CORP,3151,,34.84000,35.25000,34.94000,37308711,0.008369,8035239,34.98000,,0.008369,0.015271
59408,2022-09-12,1,BAC,BANK OF AMERICA CORP,3151,,35.02500,35.63000,35.27000,30533965,0.009445,8035239,35.20000,,0.009445,0.010584
59408,2022-09-13,1,BAC,BANK OF AMERICA CORP,3151,,33.81000,34.72000,34.00000,40959631,-0.036008,8035239,34.58000,,-0.036008,-0.043237
59408,2022-09-14,1,BAC,BANK OF AMERICA CORP,3151,,33.54000,34.42000,33.87000,32004428,-0.003824,8035239,34.20000,,-0.003824,0.003387
59408,2022-09-15,1,BAC,BANK OF AMERICA CORP,3151,,33.70000,34.89500,34.51000,44863253,0.018896,8035239,33.79000,,0.018896,-0.011318
59408,2022-09-16,1,BAC,BANK OF AMERICA CORP,3151,,33.66000,34.23000,34.12000,54281841,-0.011301,8035239,34.19000,,-0.011301,-0.007182
59408,2022-09-19,1,BAC,BANK OF AMERICA CORP,3151,,33.63000,34.87000,34.69000,29781993,0.016706,8035239,33.72000,,0.016706,0.006857
59408,2022-09-20,1,BAC,BANK OF AMERICA CORP,3151,,33.88000,34.77860,34.17000,33591050,-0.014990,8035239,34.50000,,-0.014990,-0.011272
59408,2022-09-21,1,BAC,BANK OF AMERICA CORP,3151,,33.12000,34.40000,33.15000,51667806,-0.029851,8035239,34.31000,,-0.029851,-0.017116
59408,2022-09-22,1,BAC,BANK OF AMERICA CORP,3151,,32.39000,33.42000,32.50000,47527455,-0.019608,8035239,33.31000,,-0.019608,-0.008428
59408,2022-09-23,1,BAC,BANK OF AMERICA CORP,3151,,31.21000,32.09000,31.73000,55316073,-0.023692,8035239,31.93000,,-0.023692,-0.017233
59408,2022-09-26,1,BAC,BANK OF AMERICA CORP,3151,,30.68140,31.82000,31.03000,40360232,-0.022061,8035239,31.32000,,-0.022061,-0.010341
59408,2022-09-27,1,BAC,BANK OF AMERICA CORP,3151,,30.29500,31.36790,30.57000,43396576,-0.014824,8035239,31.27000,,-0.014824,-0.002120
59408,2022-09-28,1,BAC,BANK OF AMERICA CORP,3151,,30.39000,31.31000,31.07000,38372850,0.016356,8035239,30.53000,,0.016356,0.019672
59408,2022-09-29,1,BAC,BANK OF AMERICA CORP,3151,,30.21000,30.89840,30.66000,35220878,-0.013196,8035239,30.69000,,-0.013196,-0.021126
59408,2022-09-30,1,BAC,BANK OF AMERICA CORP,3151,,30.16500,31.19000,30.20000,42294080,-0.015003,8035239,30.76000,,-0.015003,-0.015067
59408,2022-10-03,1,BAC,BANK OF AMERICA CORP,3151,,30.20000,31.28000,31.09000,34591712,0.029470,8035239,30.59000,,0.029470,0.025884
59408,2022-10-04,1,BAC,BANK OF AMERICA CORP,3151,,31.66000,32.52000,32.38000,39758744,0.041492,8035239,31.72000,,0.041492,0.030584
59408,2022-10-05,1,BAC,BANK OF AMERICA CORP,3151,,31.45000,32.03000,31.92000,35791137,-0.014206,8035239,31.54000,,-0.014206,-0.002018
59408,2022-10-06,1,BAC,BANK OF AMERICA CORP,3151,,31.36190,31.88000,31.46000,40891904,-0.014411,8035239,31.60000,,-0.014411,-0.010245
59408,2022-10-07,1,BAC,BANK OF AMERICA CORP,3151,,30.52500,31.24000,30.75000,52304648,-0.022568,8035239,31.17000,,-0.022568,-0.028004
59408,2022-10-10,1,BAC,BANK OF AMERICA CORP,3151,,30.35000,31.04500,30.66000,37669106,-0.002927,8035239,30.90000,,-0.002927,-0.007492
59408,2022-10-11,1,BAC,BANK OF AMERICA CORP,3151,,29.57000,30.47000,29.77000,58123991,-0.029028,8035239,30.37000,,-0.029028,-0.006519
59408,2022-10-12,1,BAC,BANK OF AMERICA CORP,3151,,29.48000,30.30990,29.86000,36137903,0.003023,8035239,29.64000,,0.003023,-0.003291
59408,2022-10-13,1,BAC,BANK OF AMERICA CORP,3151,,29.31000,31.77000,31.69000,67671021,0.061286,8035239,29.41000,,0.061286,0.025966
59408,2022-10-14,1,BAC,BANK OF AMERICA CORP,3151,,31.57000,32.63000,31.70000,58172786,0.000316,8035239,31.81000,,0.000316,-0.023663
59408,2022-10-17,1,BAC,BANK OF AMERICA CORP,3151,,32.87000,33.87000,33.62000,88896788,0.060568,8035239,33.36000,,0.060568,0.026480
59408,2022-10-18,1,BAC,BANK OF AMERICA CORP,3151,,34.28000,35.35990,34.88000,81937931,0.037478,8035239,34.98000,,0.037478,0.011428
59408,2022-10-19,1,BAC,BANK OF AMERICA CORP,3151,,33.77000,34.83000,33.92000,43139852,-0.027523,8035239,34.58000,,-0.027523,-0.006672
59408,2022-10-20,1,BAC,BANK OF AMERICA CORP,3151,,33.59000,34.62500,33.70000,39549112,-0.006486,8035239,33.98000,,-0.006486,-0.007951
59408,2022-10-21,1,BAC,BANK OF AMERICA CORP,3151,,33.56000,35.04000,34.95000,54870269,0.037092,8035239,33.56000,,0.037092,0.023725
59408,2022-10-24,1,BAC,BANK OF AMERICA CORP,3151,,34.70500,35.26000,35.07000,33765556,0.003433,8035239,35.11000,,0.003433,0.011882
59408,2022-10-25,1,BAC,BANK OF AMERICA CORP,3151,,34.53000,35.58000,35.39000,37132262,0.009125,8035239,34.74000,,0.009125,0.016267
59408,2022-10-26,1,BAC,BANK OF AMERICA CORP,3151,,35.35000,36.09000,35.70000,41113536,0.008760,8035239,35.42000,,0.008760,-0.007388
59408,2022-10-27,1,BAC,BANK OF AMERICA CORP,3151,,35.77000,36.37000,35.87000,35261850,0.004762,8035239,36.15000,,0.004762,-0.006083
59408,2022-10-28,1,BAC,BANK OF AMERICA CORP,3151,,35.64000,36.30000,36.18000,31659107,0.008642,8035239,36.04000,,0.008642,0.024626
59408,2022-10-31,1,BAC,BANK OF AMERICA CORP,3151,,35.81000,36.33000,36.04000,32565539,-0.003870,8022432,36.00000,,-0.003870,-0.007454
59408,2022-11-01,1,BAC,BANK OF AMERICA CORP,3151,,36.11000,36.76000,36.20000,29913153,0.004440,8022432,36.44000,,0.004440,-0.004101
59408,2022-11-02,1,BAC,BANK OF AMERICA CORP,3151,,35.95000,37.27500,36.09000,57380608,-0.003039,8022432,36.07000,,-0.003039,-0.025002
59408,2022-11-03,1,BAC,BANK OF AMERICA CORP,3151,,35.41000,36.14000,35.89000,30046473,-0.005542,8022432,35.70000,,-0.005542,-0.010586
59408,2022-11-04,1,BAC,BANK OF AMERICA CORP,3151,,36.22000,37.00000,36.79000,39369359,0.025077,8022432,36.50000,,0.025077,0.013619
59408,2022-11-07,1,BAC,BANK OF AMERICA CORP,3151,,36.73000,37.34000,37.01000,37533674,0.005980,8022432,37.01000,,0.005980,0.009614
59408,2022-11-08,1,BAC,BANK OF AMERICA CORP,3151,,36.75000,37.42500,37.11000,32664337,0.002702,8022432,37.09000,,0.002702,0.005598
